pcrplate_skirted_riser40,rewiringstrains,liquidtype,vol,volunit,conc,concunit
A7,p_rpoH,dna,50,ul,79.94,ng/ul
A8,p_rpoS,dna,50,ul,69.33,ng/ul
A9,p_nlpD(rpoS),dna,50,ul,512.84,ng/ul
A10,p_araC,dna,50,ul,133.57,ng/ul
A11,p_malT,dna,50,ul,322.96,ng/ul
B7,p_ihfA,dna,50,ul,332.28,ng/ul
B8,p_rpsA(ihfB),dna,50,ul,273.83,ng/ul
B9,p_arcA,dna,50,ul,361.79,ng/ul
B10,p_appY,dna,50,ul,101.81,ng/ul
B11,p_csgD,dna,50,ul,135.19,ng/ul
C7,p_yhdG(fis),dna,50,ul,416.88,ng/ul
C8,p_fnr,dna,50,ul,59.04,ng/ul
C9,p_rpoE,dna,50,ul,158.28,ng/ul
C10,p_hns,dna,50,ul,371.55,ng/ul
C11,p_crp,dna,50,ul,61.6,ng/ul
D7,p_ompR,dna,50,ul,185.98,ng/ul
D8,p_flhD,dna,50,ul,522.06,ng/ul
D9,p_rpoD,dna,50,ul,63.75,ng/ul
D10,p_rpsU(rpoD),dna,50,ul,156.44,ng/ul
D11,p_LRP,dna,50,ul,57.53,ng/ul
E7,p_MgrB,dna,50,ul,148.42,ng/ul
E8,p_BaeR,dna,50,ul,256.57,ng/ul
E9,p_CsgD,dna,50,ul,77.28,ng/ul
E10,p_cpxR,dna,50,ul,88.87,ng/ul
E11,p_SdiA,dna,50,ul,178.64,ng/ul
F7,p_FadR,dna,50,ul,69.3,ng/ul
F8,p_rcsA,dna,50,ul,149.92,ng/ul
F9,p_MurR,dna,50,ul,419.13,ng/ul
F10,p_BolA,dna,50,ul,98.69,ng/ul
F11,p_DcuR,dna,50,ul,207.66,ng/ul
G7,p_dcuS(dcuR),dna,50,ul,265.81,ng/ul
G8,p_HipB,dna,50,ul,61.89,ng/ul
G9,p_RcdA,dna,50,ul,45.83,ng/ul
G10,p_GreA,dna,50,ul,47.38,ng/ul
G11,p_rpsD,dna,50,ul,92.34,ng/ul
H7,p_oxyR,dna,50,ul,173.62,ng/ul
H8,p_iclR,dna,50,ul,34.86,ng/ul
H9,p_Crl,dna,50,ul,98.58,ng/ul
H10,p_hha,dna,50,ul,210.91,ng/ul
H11,p_rpoN,dna,50,ul,47.8,ng/ul
B12,water,water,200,ul,0,ng/ul
